champion,voice_line,is_spoken,,,
Aphelios,Aphelios shouts in effort.,FALSE,,,
Aphelios,Aphelios shouts in pain.,FALSE,,,
Aphelios,Aphelios shouts.,FALSE,,,
Aphelios,"Aphelios showcases his main and off-hand weapons to the side, and pretends to shoot a flower with his finger.",FALSE,,,
Aphelios,"Aphelios takes a sip out of a bowl, then drops it on the ground, begins coughing, trips over, and falls while the bowl lands on his head.",FALSE,,,
Aphelios,Aphelios yells in great effort.,FALSE,,,
Ashe,Ashe huffs and then shouts in effort.,FALSE,,,
Ashe,Ashe laughs heartily and snorts.,FALSE,,,
Ashe,Ashe laughs heartily.,FALSE,,,
Ashe,Ashe laughs loudly and excitedly until out of breath.,FALSE,,,
Ashe,Ashe laughs loudly and excitedly.,FALSE,,,
Ashe,Ashe shouts in effort.,FALSE,,,
Ashe,Ashe shouts in pain and perishes.,FALSE,,,
Ashe,Ashe suffocates and exhales.,FALSE,,,
Ashe,Ashe suffocates.,FALSE,,,
Aurelion Sol,Aurelion Sol groans and expires.,FALSE,,,
Aurelion Sol,Aurelion Sol grunts.,FALSE,,,
Aurelion Sol,Aurelion Sol hums.,FALSE,,,
Aurelion Sol,Aurelion Sol laughs.,FALSE,,,
Aurelion Sol,Aurelion Sol sighs.,FALSE,,,
Azir,Azir chirps.,FALSE,,,
Azir,Azir grunts.,FALSE,,,
Azir,Azir laughs.,FALSE,,,
Azir,Azir shouts.,FALSE,,,
Bard,Bard chimes.,FALSE,,,
Bard,Bard dances.,FALSE,,,
Bard,Bard laughs.,FALSE,,,
Bard,Bard plays a tune.,FALSE,,,
Bard,Bard sings.,FALSE,,,
Bel'Veth,Bel'Veth grunts angrily.,FALSE,,,
Bel'Veth,Bel'Veth grunts.,FALSE,,,
Bel'Veth,Bel'Veth laughs.,FALSE,,,
Bel'Veth,Bel'Veth shouts.,FALSE,,,
Bel'Veth,Bel'Veth shrieks.,FALSE,,,
Blitzcrank,Blitzcrank dances to a tune.,FALSE,,,
Blitzcrank,Blitzcrank groans,FALSE,,,
Blitzcrank,Blitzcrank laughs,FALSE,,,
Brand,Brand growls loudly.,FALSE,,,
Brand,Brand growls.,FALSE,,,
Brand,Brand grunts.,FALSE,,,
Brand,Brand laughs.,FALSE,,,
Brand,Brand makes a gurgling sound.,FALSE,,,
Brand,Brand makes amusing sounds.,FALSE,,,
Brand,Brand realizes his hand is on fire and begins running around in a panic as he is engulfed in flames.,FALSE,,,
Brand,Brand swipes the air and grunts menacingly.,FALSE,,,
Brand,Brand tries to laugh but ends up coughing instead.,FALSE,,,
Braum,"Braum grunts, then yells.",FALSE,,,
Braum,Braum grunts.,FALSE,,,
Braum,Braum laughs.,FALSE,,,
Braum,Braum performs Hopak and laughs.,FALSE,,,
Caitlyn,Caitlyn coughs.,FALSE,,,
Caitlyn,Caitlyn groans.,FALSE,,,
Caitlyn,Caitlyn grunts.,FALSE,,,
Caitlyn,Caitlyn laughs.,FALSE,,,
Caitlyn,"Caitlyn plays a ""shoot 'em up"" game, taking down Teemo sprites.",FALSE,,,
Caitlyn,Caitlyn shouts.,FALSE,,,
Camille,Camille gasps and suffocates.,FALSE,,,
Camille,Camille grunts.,FALSE,,,
Camille,Camille huffs.,FALSE,,,
Camille,Camille laughs loudly and menacingly.,FALSE,,,
Camille,Camille laughs menacingly.,FALSE,,,
Camille,Camille shouts in effort.,FALSE,,,
Camille,Camille snickers.,FALSE,,,
Cassiopeia,Cassiopeia hisses and snarls.,FALSE,,,
Cassiopeia,Cassiopeia hisses.,FALSE,,,
Cassiopeia,Cassiopeia inhales and then screeches.,FALSE,,,
Cassiopeia,Cassiopeia inhales.,FALSE,,,
Cassiopeia,Cassiopeia laughs tauntingly and then hisses.,FALSE,,,
Cassiopeia,Cassiopeia laughs tauntingly.,FALSE,,,
Cassiopeia,Cassiopeia screams.,FALSE,,,
Cassiopeia,Cassiopeia screeches.,FALSE,,,
Cassiopeia,Cassiopeia snarls.,FALSE,,,
Cho'Gath,Cho'Gath coughs and perishes.,FALSE,,,
Cho'Gath,Cho'Gath groans in pain.,FALSE,,,
Cho'Gath,Cho'Gath growls in effort.,FALSE,,,
Cho'Gath,Cho'Gath grunts.,FALSE,,,
Cho'Gath,Cho'Gath laughs menacingly.,FALSE,,,
Cho'Gath,Cho'Gath laughs pompously.,FALSE,,,
Cho'Gath,Cho'Gath roars in effort.,FALSE,,,
Cho'Gath,Cho'Gath shrieks.,FALSE,,,
Cho'Gath,Cho'Gath yells in pain and perishes.,FALSE,,,
Corki,Corki laughs.,FALSE,,,
Corki,"Corki perishes, suffocating.",FALSE,,,
Darius,"Darius grunts, then yells.",FALSE,,,
Darius,Darius grunts.,FALSE,,,
Darius,Darius laughs.,FALSE,,,
Darius,Darius yells.,FALSE,,,
Diana,"Diana grunts, annoyed.",FALSE,,,
Diana,Diana grunts.,FALSE,,,
Diana,Diana laughs.,FALSE,,,
Diana,Diana yells.,FALSE,,,
Dr. Mundo,Dr. Mundo groans.,FALSE,,,
Dr. Mundo,Dr. Mundo grunts.,FALSE,,,
Dr. Mundo,Dr. Mundo is being electrocuted.,FALSE,,,
Dr. Mundo,Dr. Mundo laughs.,FALSE,,,
Dr. Mundo,Dr. Mundo makes a noise.,FALSE,,,
Dr. Mundo,Dr. Mundo whimpers.,FALSE,,,
Draven,Draven groans.,FALSE,,,
Draven,Draven grunts.,FALSE,,,
Draven,Draven laughs confidently.,FALSE,,,
Draven,Draven laughs maniacally.,FALSE,,,
Draven,Draven laughs proudly.,FALSE,,,
Draven,Draven laughs.,FALSE,,,
Draven,Draven shouts in effort.,FALSE,,,
Ekko,Ekko groans.,FALSE,,,
Ekko,Ekko grunts.,FALSE,,,
Ekko,Ekko laughs.,FALSE,,,
Ekko,Ekko plays an Air Guitar.,FALSE,,,
Elise,Elise chuckles menacingly and maniacally.,FALSE,,,
Elise,Elise chuckles menacingly.,FALSE,,,
Elise,Elise chuckles pompously.,FALSE,,,
Elise,Elise chuckles.,FALSE,,,
Elise,Elise exhales heavily.,FALSE,,,
Elise,Elise exhales voicedly and heavily.,FALSE,,,
Elise,Elise groans.,FALSE,,,
Elise,Elise grunts and chuckles triumphantly.,FALSE,,,
Elise,Elise grunts harshly and chuckles triumphantly.,FALSE,,,
Elise,Elise grunts loudly.,FALSE,,,
Elise,Elise hisses and chuckles triumphantly.,FALSE,,,
Elise,Elise hisses harshly and chuckles triumphantly.,FALSE,,,
Elise,Elise hisses harshly.,FALSE,,,
Elise,Elise hisses.,FALSE,,,
Elise,Elise huffs.,FALSE,,,
Elise,Elise laughs and sighs.,FALSE,,,
Elise,Elise laughs menacingly.,FALSE,,,
Elise,Elise laughs softly.,FALSE,,,
Elise,Elise plays on an instrument.,FALSE,,,
Elise,Elise screams.,FALSE,,,
Elise,Elise shouts in effort.,FALSE,,,
Elise,Elise sighs.,FALSE,,,
Elise,Elise yelps and groans in pain.,FALSE,,,
Elise,Elise yelps and shouts in pain.,FALSE,,,
Elise,"Elise yelps, groans in pain, and exhales.",FALSE,,,
Evelynn,Evelynn dances to an instrumental version of MORE.,FALSE,,,
Evelynn,Evelynn dances to an instrumental version of POP/STARS.,FALSE,,,
Evelynn,Evelynn giggles.,FALSE,,,
Evelynn,Evelynn laughs.,FALSE,,,
Evelynn,"Evelynn yells, then laughs.",FALSE,,,
Ezreal,Ezreal groans.,FALSE,,,
Ezreal,Ezreal grunts and shouts.,FALSE,,,
Ezreal,Ezreal grunts and strains.,FALSE,,,
Ezreal,Ezreal grunts.,FALSE,,,
Ezreal,Ezreal huffs.,FALSE,,,
Ezreal,Ezreal laughs.,FALSE,,,
Ezreal,Ezreal one-shots a pixel dragon and jubilates the victory.,FALSE,,,
Ezreal,Ezreal shouts.,FALSE,,,
Ezreal,Ezreal yells in fear.,FALSE,,,
Ezreal,Ezreal yells.,FALSE,,,
Fiddlesticks,Fiddlesticks breathes inwardly.,FALSE,,,
Fiddlesticks,Fiddlesticks breathes raggedly.,FALSE,,,
Fiddlesticks,Fiddlesticks cackles excitedly and raggedly.,FALSE,,,
Fiddlesticks,Fiddlesticks cackles.,FALSE,,,
Fiddlesticks,Fiddlesticks chuckles.,FALSE,,,
Fiddlesticks,Fiddlesticks gasps for breath.,FALSE,,,
Fiddlesticks,Fiddlesticks growls.,FALSE,,,
Fiddlesticks,Fiddlesticks grunts.,FALSE,,,
Fiddlesticks,Fiddlesticks guffaws.,FALSE,,,
Fiddlesticks,Fiddlesticks howls.,FALSE,,,
Fiddlesticks,Fiddlesticks imitates the noise of an animal.,FALSE,,,
Fiddlesticks,Fiddlesticks inhales and exhales twice.,FALSE,,,
Fiddlesticks,Fiddlesticks laughs and breathes heavily.,FALSE,,,
Fiddlesticks,Fiddlesticks laughs dryly.,FALSE,,,
Fiddlesticks,Fiddlesticks laughs evilly.,FALSE,,,
Fiddlesticks,Fiddlesticks laughs raggedly.,FALSE,,,
Fiddlesticks,Fiddlesticks laughs unpleasantly.,FALSE,,,
Fiddlesticks,Fiddlesticks laughs with his last breath.,FALSE,,,
Fiddlesticks,Fiddlesticks laughs.,FALSE,,,
Fiddlesticks,"Fiddlesticks lets out escalating, maniacal laughs.",FALSE,,,
Fiddlesticks,Fiddlesticks makes a confused noise.,FALSE,,,
Fiddlesticks,Fiddlesticks makes a creaking noise.,FALSE,,,
Fiddlesticks,Fiddlesticks makes a croaking sound.,FALSE,,,
Fiddlesticks,Fiddlesticks makes a mechanical noise.,FALSE,,,
Fiddlesticks,Fiddlesticks makes a noise.,FALSE,,,
Fiddlesticks,Fiddlesticks makes a pretending eating noise.,FALSE,,,
Fiddlesticks,Fiddlesticks makes a squealing noise.,FALSE,,,
Fiddlesticks,Fiddlesticks makes an amused noise.,FALSE,,,
Fiddlesticks,Fiddlesticks makes an unpleasant noise.,FALSE,,,
Fiddlesticks,Fiddlesticks mimics a whinny.,FALSE,,,
Fiddlesticks,Fiddlesticks mimics panicked breathing.,FALSE,,,
Fiddlesticks,Fiddlesticks rapidly gasps for breath.,FALSE,,,
Fiddlesticks,Fiddlesticks rattles and honks.,FALSE,,,
Fiddlesticks,Fiddlesticks repeatedly grunts intensely.,FALSE,,,
Fiddlesticks,Fiddlesticks screeches like a crow.,FALSE,,,
Fiddlesticks,Fiddlesticks screeches.,FALSE,,,
Fiddlesticks,Fiddlesticks shrieks.,FALSE,,,
Fiddlesticks,Fiddlesticks sighs with ragged breath.,FALSE,,,
Fiddlesticks,Fiddlesticks sings the tune of a clown circus.,FALSE,,,
Fiddlesticks,Fiddlesticks takes a ragged breath.,FALSE,,,
Fiddlesticks,Fiddlesticks whistles breathlessly.,FALSE,,,
Fiora,Fiora gasps and suffocates.,FALSE,,,
Fiora,Fiora huffs forcefully.,FALSE,,,
Fiora,Fiora laughs loudly.,FALSE,,,
Fiora,Fiora laughs teasingly.,FALSE,,,
Fiora,Fiora laughs.,FALSE,,,
Fiora,Fiora shouts in effort.,FALSE,,,
Fiora,"Fiora shouts, then laughs teasingly.",FALSE,,,
Fiora,Fiora shouts.,FALSE,,,
Fizz,Fizz chuckles mischievously.,FALSE,,,
Fizz,Fizz groans in effort.,FALSE,,,
Fizz,Fizz grunts.,FALSE,,,
Fizz,Fizz huffs in great effort.,FALSE,,,
Fizz,Fizz laughs cheerfully.,FALSE,,,
Fizz,Fizz laughs joyfully.,FALSE,,,
Fizz,Fizz laughs mischievously.,FALSE,,,
Fizz,Fizz shouts in effort.,FALSE,,,
Fizz,Fizz yells in pain.,FALSE,,,
Galio,Galio does the chicken dance.,FALSE,,,
Galio,Galio grunts.,FALSE,,,
Galio,Galio laughs.,FALSE,,,
Galio,Galio 'sings' while cooking some chicken wings.,FALSE,,,
Galio,Galio yells.,FALSE,,,
Gangplank,Gangplank chuckles.,FALSE,,,
Gangplank,Gangplank consumes citrus fruits voraciously.,FALSE,,,
Gangplank,"Gangplank groans in pain, suffocates and perishes.",FALSE,,,
Gangplank,Gangplank grunts and chuckles.,FALSE,,,
Gangplank,Gangplank grunts forcefully and chuckles.,FALSE,,,
Gangplank,Gangplank grunts forcefully and laughs.,FALSE,,,
Gangplank,Gangplank grunts forcefully.,FALSE,,,
Gangplank,Gangplank grunts.,FALSE,,,
Gangplank,Gangplank laughs loudly and cunningly.,FALSE,,,
Gangplank,Gangplank laughs triumphantly.,FALSE,,,
Gangplank,Gangplank laughs.,FALSE,,,
Garen,Garen grunts.,FALSE,,,
Garen,Garen laughs.,FALSE,,,
Garen,Garen poses while synthwave music plays.,FALSE,,,
Gnar,Gnar chants.,FALSE,,,
Gnar,Gnar giggles mockingly.,FALSE,,,
Gnar,Gnar groans loudly and suffocates.,FALSE,,,
Gnar,Gnar groans.,FALSE,,,
Gnar,Gnar growls.,FALSE,,,
Gnar,Gnar grunts.,FALSE,,,
Gnar,Gnar huffs.,FALSE,,,
Gnar,Gnar laughs playfully.,FALSE,,,
Gnar,Gnar noms.,FALSE,,,
Gnar,Gnar puffs.,FALSE,,,
Gnar,Gnar roars.,FALSE,,,
Gnar,Gnar scoffs.,FALSE,,,
Gnar,Gnar shouts in effort.,FALSE,,,
Gnar,Gnar sighs.,FALSE,,,
Gnar,Gnar sniffs.,FALSE,,,
Gnar,Gnar squeals.,FALSE,,,
Gnar,Gnar stomps his legs and breathes heavily.,FALSE,,,
Gnar,Gnar yelps and giggles while his boomerang rushes on the wind.,FALSE,,,
Gnar,Gnar yelps.,FALSE,,,
Gnar,"Mega Gnar begins to roar and puts his tongue out, but eventually gives up.",FALSE,,,
Gnar,Mega Gnar breathes heavily and roars.,FALSE,,,
Gnar,Mega Gnar breathes heavily.,FALSE,,,
Gnar,Mega Gnar chants.,FALSE,,,
Gnar,Mega Gnar chuckles.,FALSE,,,
Gnar,Mega Gnar roars.,FALSE,,,
Gnar,Mega Gnar snarls.,FALSE,,,
Gragas,Gragas burps.,FALSE,,,
Gragas,Gragas dances to an accordion.,FALSE,,,
Gragas,Gragas grunts.,FALSE,,,
Gragas,Gragas laughs.,FALSE,,,
Graves,Graves chuckles.,FALSE,,,
Graves,Graves groans.,FALSE,,,
Graves,Graves grunts triumphantly.,FALSE,,,
Graves,Graves grunts.,FALSE,,,
Graves,Graves laughs triumphantly.,FALSE,,,
Graves,Graves laughs victoriously.,FALSE,,,
Graves,Graves laughs.,FALSE,,,
Graves,Graves makes a mechanical noise.,FALSE,,,
Graves,Graves shouts mockingly.,FALSE,,,
Gwen,Gwen gasps and groans.,FALSE,,,
Gwen,Gwen grunts and shouts in effort.,FALSE,,,
Gwen,Gwen grunts.,FALSE,,,
Gwen,Gwen huffs and shouts in effort.,FALSE,,,
Gwen,Gwen laughs playfully.,FALSE,,,
Gwen,Gwen laughs.,FALSE,,,
Gwen,Gwen shouts.,FALSE,,,
Hecarim,Hecarim dies.,FALSE,,,
Hecarim,Hecarim grunts.,FALSE,,,
Hecarim,Hecarim laughs.,FALSE,,,
Hecarim,Hecarim performs a guitar solo.,FALSE,,,
Hecarim,Hecarim yells.,FALSE,,,
Heimerdinger,Heimerdinger dances to an electronic beat.,FALSE,,,
Heimerdinger,Heimerdinger grunts.,FALSE,,,
Heimerdinger,Heimerdinger laughs.,FALSE,,,
Illaoi,Illaoi groans.,FALSE,,,
Illaoi,Illaoi grunts in effort.,FALSE,,,
Illaoi,Illaoi grunts.,FALSE,,,
Illaoi,Illaoi laughs.,FALSE,,,
Irelia,"Irelia charges, yelling.",FALSE,,,
Irelia,"Irelia exhales, frustrated.",FALSE,,,
Irelia,Irelia gasps and perishes.,FALSE,,,
Irelia,Irelia grunts loudly.,FALSE,,,
Irelia,Irelia grunts.,FALSE,,,
Irelia,Irelia huffs.,FALSE,,,
Irelia,Irelia laughs heartily and playfully.,FALSE,,,
Irelia,Irelia laughs playfully.,FALSE,,,
Irelia,Irelia puffs.,FALSE,,,
Irelia,"Irelia releases, shouting in effort.",FALSE,,,
Irelia,"Irelia releases, shouting in great effort.",FALSE,,,
Irelia,Irelia shouts in effort.,FALSE,,,
Irelia,Irelia shouts sharply.,FALSE,,,
Irelia,Irelia yells in pain and exhales.,FALSE,,,
Ivern,Ivern hums.,FALSE,,,
Ivern,Ivern laughs.,FALSE,,,
Ivern,Ivern sings.,FALSE,,,
Ivern,Ivern yawns.,FALSE,,,
Janna,Janna grunts.,FALSE,,,
Janna,Janna laughs.,FALSE,,,
Janna,Janna screams.,FALSE,,,
Jarvan IV,Jarvan IV grunts.,FALSE,,,
Jarvan IV,Jarvan IV laughs.,FALSE,,,
Jarvan IV,Jarvan IV shouts in great effort and determination.,FALSE,,,
Jax,Jax groans.,FALSE,,,
Jax,Jax grunts.,FALSE,,,
Jax,Jax laughs.,FALSE,,,
Jayce,Jayce groans in pain.,FALSE,,,
Jayce,Jayce grunts in pain.,FALSE,,,
Jayce,Jayce grunts loudly and forcefully.,FALSE,,,
Jayce,Jayce grunts.,FALSE,,,
Jayce,Jayce grunts. He laughs confidently. He then grunts again.,FALSE,,,
Jayce,Jayce huffs and grunts. He laughs loudly and confidently. He then huffs again.,FALSE,,,
Jayce,Jayce huffs in great effort.,FALSE,,,
Jayce,Jayce huffs.,FALSE,,,
Jayce,Jayce laughs confidently.,FALSE,,,
Jayce,Jayce shouts in effort.,FALSE,,,
Jayce,Jayce shouts in great effort.,FALSE,,,
Jayce,Jayce shouts in pain.,FALSE,,,
Jhin,Jhin groans.,FALSE,,,
Jhin,Jhin grunts.,FALSE,,,
Jhin,Jhin hums and laughs.,FALSE,,,
Jhin,Jhin hums.,FALSE,,,
Jhin,Jhin laughs.,FALSE,,,
Jhin,Jhin moans.,FALSE,,,
Jinx,Jinx coughs and chokes.,FALSE,,,
Jinx,Jinx dances next to a gramophone playing 'Get Jinxed'.,FALSE,,,
Jinx,Jinx grunts.,FALSE,,,
Jinx,Jinx huffs.,FALSE,,,
Jinx,Jinx laughs hysterically.,FALSE,,,
Jinx,Jinx laughs playfully.,FALSE,,,
Jinx,Jinx laughs.,FALSE,,,
Jinx,Jinx shouts mockingly.,FALSE,,,
Jinx,Jinx suffocates and exhales.,FALSE,,,
Jinx,Jinx suffocates.,FALSE,,,
Kai'Sa,Kai'Sa breathes heavily.,FALSE,,,
Kai'Sa,Kai'Sa breathes out.,FALSE,,,
Kai'Sa,"Kai'Sa dances to an instrumental version of ""POP/STARS"".",FALSE,,,
Kai'Sa,Kai'Sa exhales.,FALSE,,,
Kai'Sa,Kai'Sa gasps deeply.,FALSE,,,
Kai'Sa,Kai'Sa grunts in great effort.,FALSE,,,
Kai'Sa,Kai'Sa grunts.,FALSE,,,
Kai'Sa,Kai'Sa huffs and grunts in great effort.,FALSE,,,
Kai'Sa,Kai'Sa huffs and releases.,FALSE,,,
Kai'Sa,Kai'Sa huffs.,FALSE,,,
Kai'Sa,Kai'Sa hyperventilates.,FALSE,,,
Kai'Sa,Kai'Sa laughs.,FALSE,,,
Kai'Sa,"Kai'Sa plays a ""beat 'em up"" game and dances after winning.",FALSE,,,
Kai'Sa,Kai'Sa screams.,FALSE,,,
Kai'Sa,Kai'Sa shouts in effort.,FALSE,,,
Kai'Sa,Kai'Sa shouts.,FALSE,,,
Kai'Sa,Kai'Sa sighs in repose.,FALSE,,,
Kai'Sa,Kai'Sa snarls.,FALSE,,,
Kalista,Kalista grunts.,FALSE,,,
Kalista,Kalista laughs.,FALSE,,,
Karma,Karma groans.,FALSE,,,
Karma,Karma grunts in a rising tone.,FALSE,,,
Karma,Karma grunts in annoyance.,FALSE,,,
Karma,Karma grunts.,FALSE,,,
Karma,Karma huffs.,FALSE,,,
Karma,"Karma laughs, then clears her throat.",FALSE,,,
Karma,Karma laughs.,FALSE,,,
Karma,Karma screams and groans.,FALSE,,,
Karma,Karma yells.,FALSE,,,
Karthus,Karthus grunts.,FALSE,,,
Karthus,Karthus laughs.,FALSE,,,
Karthus,Karthus plays a guitar solo.,FALSE,,,
Kassadin,Kassadin laughs.,FALSE,,,
Katarina,Katarina groans.,FALSE,,,
Katarina,Katarina grunts.,FALSE,,,
Katarina,Katarina laughs.,FALSE,,,
Katarina,Katarina shouts in effort.,FALSE,,,
Kayle,Kayle grunts.,FALSE,,,
Kayle,Kayle laughs.,FALSE,,,
Kayle,Kayle sighs.,FALSE,,,
Kayn,Kayn groans.,FALSE,,,
Kayn,Kayn grunts twice.,FALSE,,,
Kayn,Kayn grunts.,FALSE,,,
Kayn,Kayn laughs.,FALSE,,,
Kayn,Rhaast breathes heavily.,FALSE,,,
Kayn,Rhaast chuckles sinisterly.,FALSE,,,
Kayn,Rhaast groans.,FALSE,,,
Kayn,Rhaast grunts twice.,FALSE,,,
Kayn,Rhaast grunts.,FALSE,,,
Kayn,Rhaast laughs maniacally.,FALSE,,,
Kayn,Rhaast laughs.,FALSE,,,
Kayn,Shadow Assassin chuckles.,FALSE,,,
Kayn,Shadow Assassin groans.,FALSE,,,
Kayn,Shadow Assassin grunts twice.,FALSE,,,
Kayn,Shadow Assassin grunts.,FALSE,,,
Kayn,Shadow Assassin laughs maniacally.,FALSE,,,
Kayn,Shadow Assassin laughs.,FALSE,,,
Kennen,Kennen grunts.,FALSE,,,
Kennen,Kennen laughs triumphantly.,FALSE,,,
Kennen,Kennen laughs.,FALSE,,,
Kennen,Kennen yells.,FALSE,,,
Kha'Zix,Kha'Zix dies.,FALSE,,,
Kha'Zix,Kha'Zix growls.,FALSE,,,
Kha'Zix,Kha'Zix growls. ,FALSE,,,
Kha'Zix,Kha'Zix laughs.,FALSE,,,
Kindred,Lamb and Wolf laugh.,FALSE,,,
Kindred,Lamb hops.,FALSE,,,
Kindred,Lamb huffs.,FALSE,,,
Kindred,Lamb hums.,FALSE,,,
Kindred,Lamb plays an instrument.,FALSE,,,
Kindred,Wolf growls.,FALSE,,,
Kled,Kled curses.,FALSE,,,
Kled,Kled groans.,FALSE,,,
Kled,Kled grunts.,FALSE,,,
Kled,Kled laughs.,FALSE,,,
Kled,Kled yells.,FALSE,,,
Kog'Maw,Kog'Maw chuckles amusedly.,FALSE,,,
Kog'Maw,"Kog'Maw gacks, gurgles and screams.",FALSE,,,
Kog'Maw,Kog'Maw growls.,FALSE,,,
Kog'Maw,Kog'Maw gurgles and screams.,FALSE,,,
Kog'Maw,"Kog'Maw gurgles loudly, crying out.",FALSE,,,
Kog'Maw,Kog'Maw gurgles noisily.,FALSE,,,
Kog'Maw,"Kog'Maw gurgles, crying out.",FALSE,,,
Kog'Maw,Kog'Maw gurgles.,FALSE,,,
Kog'Maw,Kog'Maw hacks and gurgles.,FALSE,,,
Kog'Maw,Kog'Maw hocks forcefully.,FALSE,,,
Kog'Maw,Kog'Maw hocks.,FALSE,,,
Kog'Maw,Kog'Maw retches loudly and vigorously,FALSE,,,
Kog'Maw,Kog'Maw retches loudly and vigorously.,FALSE,,,
Kog'Maw,Kog'Maw retches vigorously.,FALSE,,,
Kog'Maw,Kog'Maw retches.,FALSE,,,
Kog'Maw,Kog'Maw screams.,FALSE,,,
Kog'Maw,Kog'Maw snorts.,FALSE,,,
Kog'Maw,Kog'Maw sounds a 'Charge!' bugle call.,FALSE,,,
K'Sante,K'Sante chuckles.,FALSE,,,
K'Sante,K'Sante groans loudly.,FALSE,,,
K'Sante,K'Sante groans.,FALSE,,,
K'Sante,K'Sante grunts loudly.,FALSE,,,
K'Sante,K'Sante grunts.,FALSE,,,
K'Sante,K'Sante huffs.,FALSE,,,
K'Sante,K'Sante laughs mockingly.,FALSE,,,
K'Sante,K'Sante laughs.,FALSE,,,
K'Sante,K'Sante shouts in effort.,FALSE,,,
K'Sante,K'Sante shouts in great effort.,FALSE,,,
LeBlanc,LeBlanc groans.,FALSE,,,
LeBlanc,LeBlanc grunts.,FALSE,,,
LeBlanc,LeBlanc laughs.,FALSE,,,
Lee Sin,Lee sin groans.,FALSE,,,
Lee Sin,Lee Sin grunts,FALSE,,,
Lee Sin,Lee Sin grunts.,FALSE,,,
Lee Sin,Lee sin laughs.,FALSE,,,
Leona,Leona exhales in pain.,FALSE,,,
Leona,Leona groans.,FALSE,,,
Leona,Leona grunts and laughs.,FALSE,,,
Leona,Leona grunts twice and laughs.,FALSE,,,
