,champion,voice_line,is_spoken
71,Aatrox,"I beg, let some challenge me today... So that I may tear out their hearts! Pray! Let me watch them die, eyes knowing they served... my dark purpose...",True
72,Aatrox,"""No beast so fierce, but knows some touch of pity... But I know none... and therefore am no beast."" *Laughs*",False
73,Aatrox,"To war, Aatrox! They shall not rob us of our nobility! We shall stand, and spit venom at our tormentors for eternity!",True
74,Aatrox,I do not obey! I cannot lay down! I will be the ender of all things!,True
75,Aatrox,"We march to battle... Let me carve flesh, let me cloak myself in the slaughter! Hide me in their carnage... Hide me from this suffering...",True
76,Aatrox,"I shall regard their cries as braying steeds, waiting to be whipped, broken, and bridled!",True
77,Aatrox,I am in a cage within a prison... But this <b>foul</b> shape reminds me of my purpose!,True
78,Aatrox,Do you see my edge?! Your death awaits!,True
79,Aatrox,"Pray, fool! You face a Darkin.",True
80,Aatrox,This violence shall amuse!,True
81,Aatrox,Our duel begins.,True
82,Aatrox,Come closer! I will show you... darkness!,True
83,Aatrox,"Come, fight me!",True
84,Aatrox,"Tricks, Akali? They will not hide you from me, face your doom.",True
85,Aatrox,"Another foolish god, even the phoenix shall end.",True
86,Aatrox,"Scissors for legs... Okay, I thought I had seen stupid designs before... Alright, let's go.",True
87,Aatrox,"Look at your noble courage, Darius! Now learn... despair.",True
88,Aatrox,"You are unloved, Mundo! Now, face judgement!",True
89,Aatrox,"I know your name, Fiora. This is not a duel you shall win.",True
90,Aatrox,A statue? Rock shatters as easily as bone! Come!,True
91,Aatrox,Guns and oranges? Are you a cliché or a joke? Come! Fight! Die!,True
92,Aatrox,"Scream 'Demacia', Garen! Scream its name before I crush you, <b>and</b> it!",True
93,Aatrox,"I kill gods, priestess. Let us continue this fight... until all things stop!",True
94,Aatrox,"A worthy vessel! Come, Jax!",True
95,Aatrox,"You would rush towards me, Kai'Sa? What fool would build a strategy on that idea? Come, let us begin.",True
96,Aatrox,"Let me show you your error, Kayle! You are not worthy of ascension! You, are not worthy of the worms!",True
97,Aatrox,"Ooh, a shadow warrior! How edgy!",True
98,Aatrox,"I did not think my fellows weak, Rhaast! Already you disappoint me!",True
99,Aatrox,"A lightning squirrel?"" *Laughs* ""Thank you! Your death will amuse me!",True
100,Aatrox,"Are you a joke, you loud, horrible thing? I shall kill you <b>and</b> your steed!",True
101,Aatrox,"Where is your head, rock thing? Where is the neck I shall sever?",True
102,Aatrox,"Am I challenged by a tree?! Fine, let me build a pyre from you!",True
103,Aatrox,"You would bind yourself to this realm. Morgana? Fine, let me show you the ground!",True
104,Aatrox,"Nasus, is your wisdom enough to know your fate? I am your death!",True
105,Aatrox,"Your noble purpose amuses me, Nautilus! Fight me, see true death!",True
106,Aatrox,"Hail father Ornn, god of fire and forge!"" *Laughs* ""I am Aatrox, and I am the god killer!",True
107,Aatrox,Hail Pantheon! Let me hear you cry of friendship! Let me hear you scream of brotherhood!,True
108,Aatrox,Hail Pantheon! See the weapon I have become! Watch as <b>you</b> are destroyed!,True
109,Aatrox,Hail Pantheon! How noble and proud he carries himself! Come betrayer! Come <b>fiend</b>!,True
110,Aatrox,"A bird? You would challenge me with a bird?!"" *Laughs* ""Come!",True
111,Aatrox,"Renekton! In your madness, you know my suffering! Though I shall end yours.",True
112,Aatrox,"Riven, dance, child! That broken blade is no match for me!",True
113,Aatrox,"You would challenge me in a machine? You are a strange spirit, Rumble.",True
114,Aatrox,"A spirit blade, master Shen? Test it agaist me, let <b>me</b> shatter your illusions!",True
115,Aatrox,Yes Sion! I kill even that which will not die! I end all things!,True
116,Aatrox,"Hail the protector! Hail Taric, aspect of- get a haircut!",True
117,Aatrox,"Cowardly spirit, how annoying you are! I will savour killing you, Teemo!",True
118,Aatrox,"A troll king?! Come! Defend your throne, king of trolls!",True
119,Aatrox,"*Laughs* ""Yes, Tryndamere! I am the cause of your suffering! See if you can cut justice from me!""",False
120,Aatrox,"I wait for you, Tryndamere! Come, take your vengeance!",True
121,Aatrox,"Remember the screams of your kinsmen as you fall to me, Tryndamere!",True
122,Aatrox,"Rage? You are just flesh, Tryndamere, ready for harvesting!",True
123,Aatrox,You would end worlds? As a bow?!,True
124,Aatrox,"I will not send you to death, Yorick! I bring oblivion!",True
125,Aatrox,"I know it was you, trickster! You gave them the tools to trap me! Come, let me kill you! A thousand times isn't enough!",True
126,Aatrox,My will... is beyond death!,True
127,Aatrox,I am Darkin! I do not die!,True
128,Aatrox,"Behold, immortality!",True
129,Aatrox,A scythe? A scythe?! Are you planning on murdering fields of wheat?!,True
130,Aatrox,"I chose a sword, the noblest weapon, Rhaast. You- seriously I don't understand... Were you trapped in the gardening section?",True
131,Aatrox,"We all agreed on the double 'A' thing, Varus. The double 'A' thing!",True
132,Aatrox,"Varus, 'V' 'A' 'R' 'U' 'S', your name should have an 'A' and then another 'A', Varus. There was a memo, Varus, there was a memo!",True
133,Aatrox,I will find a way to tear down the heavens and reveal you as fiends! Not today obviously...,True
134,Aatrox,"Do I resemble you, abomination? Your form isn't my destiny... is it? You don't know how to talk, do you? Shit...",True
135,Aatrox,"I am like a demon, but more edgy, right? You know, cause I'm a sword. Hmm...",True
136,Aatrox,"So uh, I'm Aatrox. I'm a transcendental being trapped inside cutlery... What's your deal?",True
137,Aatrox,"Uh, nice world you have here. I intend to destroy it, you know, <span class=""basic-tooltip"" style=""border-bottom:1px dotted gray;cursor:help;"" title=""for your information"">FYI</span>.",True
138,Aatrox,Aatrox laughs,False
139,Aatrox,Aatrox laughs,False
140,Aatrox,Aatrox laughs,False
141,Aatrox,"Come, let me show you darkness!",True
142,Aatrox,Fight! Join me in death!,True
143,Aatrox,Your death awaits!,True
144,Aatrox,"I will hack and chop and cleave, and sunder the filth of your forms!",True
145,Aatrox,"I am not <b>your</b> enemy, I am <b>the</b> enemy!",True
146,Aatrox,I am Darkin! Your gods fear me!,True
147,Aatrox,I will sever your limbs! I will carve your souls!,True
148,Aatrox,Carnage is my method.,True
149,Aatrox,"I can smile, and murder while I smile.",True
150,Aatrox,"Suffer, as I suffer!",True
151,Aatrox,Carnage... Hoooooome...,True
152,Aatrox,Hear this cursed form sing!,True
153,Aatrox,Sorrow... I shall deliver it to you.,True
154,Aatrox,"I begged for death, now I am its bringer!",True
155,Aatrox,I am the god killer!,True
156,Aatrox,"Come!"" *Grunt* ""Destiny awaits!",True
157,Aatrox,"You would fight me?! Come, let me show you hell!",True
158,Aatrox,Your annihilation beckons!,True
159,Aatrox,Violence... distracts me from these chains!,True
160,Aatrox,Aatrox snarls.,False
161,Aatrox,Aatrox roars.,False
162,Aatrox,"I come for you, Pantheon.",True
163,Aatrox,"The power of an aspect, wasted on a fool!",True
164,Aatrox,"I killed your tribe. Now, join them!",True
165,Aatrox,Tryndamere! This is your destiny!,True
166,Aatrox,"I will gut you, and tear you from existence, trickster!",True
167,Aatrox,Aspect of change! Now <b>you</b> die!,True
168,Aatrox,Aatrox yells.,False
169,Aatrox,Aatrox yells.,False
170,Aatrox,Aatrox yells.,False
171,Aatrox,Aatrox yells.,False
172,Aatrox,Aatrox yells.,False
173,Aatrox,Aatrox yells.,False
174,Aatrox,Aatrox yells.,False
175,Aatrox,Aatrox yells.,False
176,Aatrox,Aatrox yells.,False
177,Aatrox,Aatrox grunts.,False
178,Aatrox,Aatrox grunts.,False
179,Aatrox,Fight! Or be forgotten!,True
180,Aatrox,Become... hate!,True
181,Aatrox,I offer you victory!,True
182,Aatrox,Let blood be our sacrament!,True
183,Aatrox,Follow me into destruction!,True
184,Aatrox,Aatrox roars.,False
185,Aatrox,Aatrox roars.,False
186,Aatrox,Aatrox roars.,False
187,Aatrox,Fight! Or be forgotten!,True
188,Aatrox,Become... hate!,True
189,Aatrox,I offer you victory!,True
190,Aatrox,Let blood be our sacrament!,True
191,Aatrox,Follow me into destruction!,True
192,Aatrox,This is your absolution.,True
193,Aatrox,"To the end of times, I shall kill you again and again.",True
194,Aatrox,This was reckoning.,True
195,Aatrox,You die... a fool.,True
196,Aatrox,"I brought you the one true gift, I brought you... death!",True
197,Aatrox,Your broken form speaks only of failure.,True
198,Aatrox,"Carnage, my last joy.",True
199,Aatrox,This is the silence I seek.,True
200,Aatrox,I will have silence.,True
201,Aatrox,Resurrect! Return! So I may kill you again...,True
202,Aatrox,This is my gift to mortals.,True
203,Aatrox,I sing only in your deaths.,True
204,Aatrox,"I do not need to show my mastery, it is self-evident.",True
205,Aatrox,"Resurrection, an endless cycle of life... A dead bird.",True
206,Aatrox,"What foolish plan bore a woman such as you, Camille? You were a folly, crafted by an idiot.",True
207,Aatrox,"The axe suited you, Darius, the weapon of a simpleton!",True
208,Aatrox,"I expected you to be nimble, Fiora. Too easily, my blade crushed your spine.",True
209,Aatrox,"Yo ho, Gangplank, yo ho.",True
210,Aatrox,"Demacia!"" *Laughs* ""Whatever 'Demacia' is, I will slay it next!",True
211,Aatrox,"In time I will learn how to kill even your god, Illaoi!",True
212,Aatrox,"I cannot know if I was corrupted by the void, but at least my choices were not asinine.",True
213,Aatrox,"Die, Kayle, knowing your potential will never be reached.",True
214,Aatrox,I cannot have brotherhood with incompetence.,True
215,Aatrox,What is property? Why did this dead hamster want me off of it?,True
216,Aatrox,"I kill mountains, Malphite! Dumb piles of rocks!",True
217,Aatrox,"Hear me, tree spirit. Your form is but kindling, and your forests I will burn!",True
218,Aatrox,"You disgust me, Morgana. Die in the filth of your bound flesh!",True
219,Aatrox,"Yes, Shurima was meant to fall, Nasus, as were you!",True
220,Aatrox,Journey back to the deep!,True
221,Aatrox,"Ornn, like all gods, you disappoint!",True
222,Aatrox,"Pantheon, you crawl forward like a worm! Ready to be squashed again?",True
223,Aatrox,"Now your body matches your blade, Riven: broken and worthless!",True
224,Aatrox,"Die, Shen, knowing the Eye of the Twilight is blinded and plucked.",True
225,Aatrox,"You fought to live, Sion, yet it is I who am still alive. This at least amuses.",True
226,Aatrox,"Lord of starlight, lord of hair! I trample on your corpse, Taric! I spit on your aspect's purpose!",True
227,Aatrox,"A spirit for cowards, I laugh at your tricks and mushrooms!",True
228,Aatrox,"I thought you my next vessel, Tryndamere. Pity, you failed even to become a slave.",True
229,Aatrox,"Return again to your prison, Varus. Think upon your worthlessness!",True
230,Aatrox,"Honestly, a bow and two boys? What was your plan, Varus?",True
231,Aatrox,"How I loathe your freedom, trickster! I will take this vengeance upon you, until the end of times!",True
232,Aatrox,"Mastery? I must congratulate you, obviously your parents never had reason to.",True
233,Aatrox,"Yes, your mastery is the master of masters! I am fighting... an imbecile...",True
234,Aatrox,"Somehow, I doubt you've mastered self-esteem.",True
235,Aatrox,"Mastery, how I idolise your greatness! Though I suspect your weapon lacks... impact.",True
236,Aatrox,"Ah, mastery, well done! Now master your insignificance.",True
237,Aatrox,"Insects, you think you can kill me? Behold my curse!",True
238,Aatrox,You cannot destroy me!,True
239,Aatrox,I <b>do not</b> die!,True
240,Aatrox,"*Grunt* ""Nothing can kill me!""",False
241,Aatrox,I return!,True
242,Aatrox,"*Laughs* ""Yes! Fight me!""",False
243,Aatrox,I... am <b>not</b> a mortal!,True
244,Aatrox,Did you think you could kill <b>me</b>?!,True
245,Aatrox,You think you can kill me?,True
246,Aatrox,"As long as life exists, as long as time has meaning, I am not done!",True
247,Aatrox,Aatrox laughs,False
248,Aatrox,Aatrox gasps.,False
249,Aatrox,Aatrox gasps.,False
250,Aatrox,Aatrox gasps.,False
251,Aatrox,Aatrox gasps.,False
252,Aatrox,"Aatrox gasps, then roars.",False
253,Aatrox,Aatrox groans.,False
254,Aatrox,Aatrox groans.,False
255,Aatrox,Aatrox groans.,False
256,Aatrox,Who knows what evil lurks in the hearts of men? The Shadow knows... ,True
257,Aatrox,"Peace is a lie, there is only passion... ",True
258,Aatrox,"Pain is temporary, pride is forever",True
259,Aatrox,You either die a hero or you live long enough to see yourself become the villain,True
260,Aatrox,"He who fights with monsters should look to it that he himself does not become a monster. And if you gaze long into an abyss, the abyss also gazes into you.",True
0,Ahri,Don't you trust me?,True
1,Ahri,Playtime's over.,True
2,Ahri,Shall we?,True
3,Ahri,Indulge me.,True
4,Ahri,How tempting.,True
5,Ahri,Don't hold back.,True
6,Ahri,Tell me a secret.,True
7,Ahri,Don't you trust me?,True
8,Ahri,I know what they desire.,True
9,Ahri,"""Should I make your pulse rise? Or... stop!"" *Giggles*",False
10,Ahri,"If you'd like to play with me, you'd better be sure you know the game.",True
11,Ahri,"""Come try your luck, if you think you're in my league."" *Giggles*",False
12,Ahri,Ahri laughs.,False
13,Ahri,Ahri laughs.,False
14,Ahri,Ahri laughs.,False
15,Ahri,Ahri laughs.,False
16,Ahri,Plays a segment of her theme.,False
17,Ahri,Ahri grunts.,False
18,Ahri,Ahri grunts.,False
19,Ahri,Ahri grunts.,False
20,Ahri,Ahri grunts.,False
21,Ahri,Playtime's over.,True
22,Ahri,They're mine now.,True
23,Ahri,It's too late for mercy.,True
24,Ahri,Let's have some real fun.,True
25,Ahri,No one will stand in my way.,True
26,Ahri,They've exhausted their use.,True
27,Ahri,Ahri grunts.,False
28,Ahri,Ahri grunts.,False
29,Ahri,Ahri grunts.,False
30,Ahri,Ahri grunts.,False
31,Ahri,Ahri laughs.,False
32,Ahri,Ahri laughs.,False
33,Ahri,Ahri laughs.,False
34,Ahri,Ahri laughs.,False
35,Ahri,Ahri grunts.,False
36,Ahri,Ahri grunts.,False
37,Ahri,Ahri grunts.,False
38,Ahri,Ahri grunts.,False
39,Ahri,Ahri laughs.,False
40,Ahri,Ahri laughs.,False
41,Ahri,Ahri laughs.,False
42,Ahri,Ahri laughs.,False
43,Ahri,Ahri dances to a tune.,False
44,Ahri,Ahri plays a game on her arcade cabinet before entering it.,False
45,Ahri,"Ahri dances to an instrumental version of ""POP/STARS"".",False
46,Ahri,Ahri groans.,False
47,Ahri,Ahri groans.,False
48,Ahri,Ahri groans.,False
49,Ahri,Ahri groans.,False
50,Ahri,"A stripped-down version of ""A New Horizon"" plays, which then switches to ""Burning Bright"".",False
51,Ahri,"Come on Kiko, we're the life of the party.",True
52,Ahri,"<span class=""inline-image label-after"" data-param="""" style=""display:inline;white-space:pre;""><span class=""border"" data-width=""20"" style=""display:inline-block;position:relative;""><img alt=""Kiko"" class=""thumbborder lazyload"" data-image-key=""Kiko_profileicon.png"" data-image-name=""Kiko profileicon.png"" data-src=""https://static.wikia.nocookie.net/leagueoflegends/images/3/31/Kiko_profileicon.png/revision/latest/scale-to-width-down/20?cb=20170809022715"" decoding=""async"" height=""20"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" title=""Kiko"" width=""20""/></span> <span style=""white-space:normal;"">Kiko</span></span> chirps.",False
53,Ahri,The First Star doesn't control my destiny! I do.,True
54,Ahri,The darkest night makes for the brightest stars!,True
55,Ahri,I don't want to think about the past. Or the future.,True
56,Ahri,Falling in love. That's how a star falls.,True
57,Ahri,A guardian gives everything they've got!,True
58,Ahri,"Put your game face on, girls.",True
59,Ahri,Star guardians are in it to win it.,True
60,Ahri,Let's show'em what we're made of! Starlight!,True
61,Ahri,Starlight binds us.,True
62,Ahri,Fight for each other! Nothing else matters.,True
63,Ahri,A world without my sisters isn't worth saving.,True
64,Ahri,Time to Supernova!,True
65,Ahri,"The frenemy of my enemy is my... friend? Ugh, something like that.",True
66,Ahri,"<span class=""inline-image label-after"" data-param="""" style=""display:inline;white-space:pre;""><span class=""border"" data-width=""20"" style=""display:inline-block;position:relative;""><img alt=""Kiko"" class=""thumbborder lazyload"" data-image-key=""Kiko_profileicon.png"" data-image-name=""Kiko profileicon.png"" data-src=""https://static.wikia.nocookie.net/leagueoflegends/images/3/31/Kiko_profileicon.png/revision/latest/scale-to-width-down/20?cb=20170809022715"" decoding=""async"" height=""20"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" title=""Kiko"" width=""20""/></span> <span style=""white-space:normal;"">Kiko</span></span> chirps.",False
67,Ahri,Right! They're all going to be cosmic dust!,True
68,Ahri,"Have you ever been in love, Kiko?",True
69,Ahri,"<span class=""inline-image label-after"" data-param="""" style=""display:inline;white-space:pre;""><span class=""border"" data-width=""20"" style=""display:inline-block;position:relative;""><img alt=""Kiko"" class=""thumbborder lazyload"" data-image-key=""Kiko_profileicon.png"" data-image-name=""Kiko profileicon.png"" data-src=""https://static.wikia.nocookie.net/leagueoflegends/images/3/31/Kiko_profileicon.png/revision/latest/scale-to-width-down/20?cb=20170809022715"" decoding=""async"" height=""20"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" title=""Kiko"" width=""20""/></span> <span style=""white-space:normal;"">Kiko</span></span> chirps.",False
70,Ahri,Aww... That's sweet.,True
71,Ahri,"<span class=""inline-image label-after"" data-param="""" style=""display:inline;white-space:pre;""><span class=""border"" data-width=""20"" style=""display:inline-block;position:relative;""><img alt=""Kiko"" class=""thumbborder lazyload"" data-image-key=""Kiko_profileicon.png"" data-image-name=""Kiko profileicon.png"" data-src=""https://static.wikia.nocookie.net/leagueoflegends/images/3/31/Kiko_profileicon.png/revision/latest/scale-to-width-down/20?cb=20170809022715"" decoding=""async"" height=""20"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" title=""Kiko"" width=""20""/></span> <span style=""white-space:normal;"">Kiko</span></span> chirps.",False
72,Ahri,Winning first Kiko.... then ice cream sundaes!,True
73,Ahri,"<span class=""inline-image label-after"" data-param="""" style=""display:inline;white-space:pre;""><span class=""border"" data-width=""20"" style=""display:inline-block;position:relative;""><img alt=""Kiko"" class=""thumbborder lazyload"" data-image-key=""Kiko_profileicon.png"" data-image-name=""Kiko profileicon.png"" data-src=""https://static.wikia.nocookie.net/leagueoflegends/images/3/31/Kiko_profileicon.png/revision/latest/scale-to-width-down/20?cb=20170809022715"" decoding=""async"" height=""20"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" title=""Kiko"" width=""20""/></span> <span style=""white-space:normal;"">Kiko</span></span> chirps happily.",False
74,Ahri,"<span class=""inline-image label-after"" data-param="""" style=""display:inline;white-space:pre;""><span class=""border"" data-width=""20"" style=""display:inline-block;position:relative;""><img alt=""Kiko"" class=""thumbborder lazyload"" data-image-key=""Kiko_profileicon.png"" data-image-name=""Kiko profileicon.png"" data-src=""https://static.wikia.nocookie.net/leagueoflegends/images/3/31/Kiko_profileicon.png/revision/latest/scale-to-width-down/20?cb=20170809022715"" decoding=""async"" height=""20"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" title=""Kiko"" width=""20""/></span> <span style=""white-space:normal;"">Kiko</span></span> chirps.",False
75,Ahri,Kiko! Such language.,True
76,Ahri,"<span class=""inline-image label-after"" data-param="""" style=""display:inline;white-space:pre;""><span class=""border"" data-width=""20"" style=""display:inline-block;position:relative;""><img alt=""Kiko"" class=""thumbborder lazyload"" data-image-key=""Kiko_profileicon.png"" data-image-name=""Kiko profileicon.png"" data-src=""https://static.wikia.nocookie.net/leagueoflegends/images/3/31/Kiko_profileicon.png/revision/latest/scale-to-width-down/20?cb=20170809022715"" decoding=""async"" height=""20"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" title=""Kiko"" width=""20""/></span> <span style=""white-space:normal;"">Kiko</span></span> chirps.",False
77,Ahri,Of course they look up to me. Half the time I'm flying.,True
78,Ahri,Time to save the world!,True
79,Ahri,Let's light up the sky!,True
80,Ahri,Change is coming!,True
81,Ahri,Heavenly body coming through!,True
82,Ahri,I'm playing on nothing but heart!,True
83,Ahri,No one controls me!,True
84,Ahri,I don't accept destiny... I defy it!,True
85,Ahri,Starshine makes everything better!,True
86,Ahri,I can't help it if I'm a natural leader.,True
87,Ahri,This star follows her own path!,True
88,Ahri,It can be a burden to shine so bright!,True
89,Ahri,Starlight is my spotlight!,True
90,Ahri,All I get is attention!... I was hoping for obsession.,True
91,Ahri,"*Giggles* ""Tails don't lie!""",False
92,Ahri,Who's afraid of a little fighting?... I've survived gym class.,True
93,Ahri,Loving too deeply. That's how a star falls.,True
94,Ahri,I'm always chasing the moment!,True
95,Ahri,I think I need a new orbit.,True
96,Ahri,They want to kill me or be me! Either way it's kinda all about me.,True
97,Ahri,Love will tear us apart... If the creatures from an alternate dimension don't first.,True
98,Ahri,"I fight for love, justice and beauty!... But mostly beauty.",True
99,Ahri,Starlight will prevail!,True
100,Ahri,"You can't judge a girl just by how she looks!... Except for me, of course.",True
101,Ahri,My soul is in the sky...,True
102,Ahri,"Sometimes, we have to change the stars.",True
103,Ahri,"People follow stars, Kiko. But what do stars follow?",True
104,Ahri,Love and hope spring forth from the stars! That's worth fighting for!,True
105,Ahri,I can't help it if I woke up like this.,True
106,Ahri,Speed of light? No problem.,True
107,Ahri,Ugh. I do not have time for this.,True
108,Ahri,Hey! Kiko!...,True
109,Ahri,"Oh, cut it out!",True
110,Ahri,"Ugh, Kiko...",True
111,Ahri,"Oh, quit it Kiko!",True
112,Ahri,Uugghhh!,True
113,Ahri,"Uh, hehe! Come here you little rascal!",True
114,Ahri,"Oh, I totally just tied that...",True
115,Ahri,"Bah! Uh, wha? Eh. Huh? Huh?",True
116,Ahri,"<span class=""inline-image label-after"" data-param="""" style=""display:inline;white-space:pre;""><span class=""border"" data-width=""20"" style=""display:inline-block;position:relative;""><img alt=""Kiko"" class=""thumbborder lazyload"" data-image-key=""Kiko_profileicon.png"" data-image-name=""Kiko profileicon.png"" data-src=""https://static.wikia.nocookie.net/leagueoflegends/images/3/31/Kiko_profileicon.png/revision/latest/scale-to-width-down/20?cb=20170809022715"" decoding=""async"" height=""20"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" title=""Kiko"" width=""20""/></span> <span style=""white-space:normal;"">Kiko</span></span> chirps.",False
117,Ahri,Magical Girl Make-up tip: Moisturize with the tears of your enemies.,True
118,Ahri,"If looks could kill, you'd already be dead.",True
119,Ahri,Eat stardust! Maybe then you can be pretty on the inside!,True
120,Ahri,Thanks for oversharing.,True
121,Ahri,You can't throw shade on a star!,True
122,Ahri,"Oh, don't worry! I'm way out of your league.",True
123,Ahri,Oh I heard you! I just don't care!,True
124,Ahri,How about a line I haven't heard? Then I'll be impressed.,True
125,Ahri,Talk to the tails cause this fox isn't listening.,True
126,Ahri,I'm a little busy... can I ignore you later?,True
127,Ahri,"Ugh, puh-lease!",True
